0.0000,-5.7314,1.5708
0.0000,-5.6795,1.5708
0.0000,-5.5992,1.5709
0.0000,-5.4948,1.5709
0.0000,-5.3700,1.5709
0.0000,-5.2279,1.5709
-0.0001,-5.0710,1.5709
-0.0001,-4.9015,1.5710
-0.0001,-4.7215,1.5710
-0.0001,-4.5324,1.5710
-0.0002,-4.3356,1.5710
-0.0002,-4.1323,1.5710
-0.0003,-3.9235,1.5711
-0.0003,-3.7099,1.5711
-0.0004,-3.4924,1.5711
-0.0004,-3.2715,1.5711
-0.0005,-3.0477,1.5711
-0.0006,-2.8215,1.5712
-0.0007,-2.5932,1.5712
-0.0008,-2.3631,1.5712
0.0050,-2.1316,1.5208
0.0219,-1.8994,1.4755
0.0435,-1.6665,1.4810
0.0646,-1.4325,1.4810
0.0917,-1.1985,1.4297
0.1364,-0.9666,1.3314
0.2032,-0.7394,1.2386
0.2961,-0.5213,1.0973
0.4191,-0.3181,0.9558
0.5698,-0.1340,0.8140
0.7452,0.0271,0.6721
0.9418,0.1620,0.5300
1.1558,0.2677,0.3878
1.3827,0.3420,0.2455
1.6181,0.3835,0.1031
1.8569,0.3976,0.0150
2.0961,0.3900,-0.0788
2.3349,0.3724,-0.0676
2.5740,0.3563,-0.0676
2.8131,0.3401,-0.0676
3.0522,0.3239,-0.0676
3.2914,0.3077,-0.0676
3.5307,0.2915,-0.0676
3.7700,0.2753,-0.0676
4.0093,0.2591,-0.0676
4.2486,0.2429,-0.0676
4.4880,0.2267,-0.0676
4.7274,0.2105,-0.0676
4.9668,0.1943,-0.0676
